postcode,dwelling types,number of bedrooms,rent
2000,Total,Total,750
2000,Total,Bedsitter,600
2000,Total,1 Bedroom,669
2000,Total,Not Specified,950
2000,Total,2 Bedrooms,1200
2000,Total,3 Bedrooms,1550
2000,Total,4 or more Bedrooms,
2000,House,Total,930
2000,House,Bedsitter,
2000,House,1 Bedroom,773
2000,House,Not Specified,930
2000,House,2 Bedrooms,998
2000,House,3 Bedrooms,
2000,House,4 or more Bedrooms,
2000,Other,Total,629
2000,Other,Bedsitter,
2000,Other,1 Bedroom,629
2000,Other,Not Specified,
2000,Other,2 Bedrooms,
2000,Other,3 Bedrooms,
2000,Other,4 or more Bedrooms,
2000,Townhouse,Total,
2000,Townhouse,Bedsitter,
2000,Townhouse,1 Bedroom,
2000,Townhouse,Not Specified,
2000,Townhouse,2 Bedrooms,
2000,Townhouse,3 Bedrooms,
2000,Townhouse,4 or more Bedrooms,
2000,Flat/Unit,Total,950
2000,Flat/Unit,Bedsitter,610
2000,Flat/Unit,1 Bedroom,760
2000,Flat/Unit,Not Specified,1050
2000,Flat/Unit,2 Bedrooms,1200
2000,Flat/Unit,3 Bedrooms,1600
2000,Flat/Unit,4 or more Bedrooms,
2007,Total,Total,539
2007,Total,Bedsitter,500
2007,Total,1 Bedroom,433
2007,Total,Not Specified,750
2007,Total,2 Bedrooms,900
2007,Total,3 Bedrooms,1475
2007,Total,4 or more Bedrooms,
2007,House,Total,713
2007,House,Bedsitter,
2007,House,1 Bedroom,548
2007,House,Not Specified,750
2007,House,2 Bedrooms,
2007,House,3 Bedrooms,
2007,House,4 or more Bedrooms,
2007,Other,Total,389
2007,Other,Bedsitter,
2007,Other,1 Bedroom,385
2007,Other,Not Specified,
2007,Other,2 Bedrooms,
2007,Other,3 Bedrooms,
2007,Other,4 or more Bedrooms,
2007,Townhouse,Total,
2007,Townhouse,1 Bedroom,
2007,Townhouse,Not Specified,
2007,Townhouse,2 Bedrooms,
2007,Townhouse,3 Bedrooms,
2007,Townhouse,4 or more Bedrooms,
2007,Flat/Unit,Total,600
2007,Flat/Unit,Bedsitter,500
2007,Flat/Unit,1 Bedroom,493
2007,Flat/Unit,Not Specified,610
2007,Flat/Unit,2 Bedrooms,900
2007,Flat/Unit,3 Bedrooms,
2007,Flat/Unit,4 or more Bedrooms,
2008,Total,Total,680
2008,Total,Bedsitter,498
2008,Total,1 Bedroom,620
2008,Total,Not Specified,770
2008,Total,2 Bedrooms,995
2008,Total,3 Bedrooms,1200
2008,Total,4 or more Bedrooms,1450
2008,House,Total,790
2008,House,Bedsitter,
2008,House,1 Bedroom,620
2008,House,Not Specified,775
2008,House,2 Bedrooms,875
2008,House,3 Bedrooms,1050
2008,House,4 or more Bedrooms,
2008,Other,Total,650
2008,Other,Bedsitter,
2008,Other,1 Bedroom,624
2008,Other,Not Specified,
2008,Other,2 Bedrooms,
2008,Other,3 Bedrooms,
2008,Other,4 or more Bedrooms,
2008,Townhouse,Total,
2008,Townhouse,Bedsitter,
2008,Townhouse,1 Bedroom,
2008,Townhouse,Not Specified,
2008,Townhouse,2 Bedrooms,
2008,Townhouse,3 Bedrooms,
2008,Townhouse,4 or more Bedrooms,
2008,Flat/Unit,Total,650
2008,Flat/Unit,Bedsitter,
2008,Flat/Unit,1 Bedroom,624
2008,Flat/Unit,Not Specified,750
2008,Flat/Unit,2 Bedrooms,1003
2008,Flat/Unit,3 Bedrooms,1400
2008,Flat/Unit,4 or more Bedrooms,
2009,Total,Total,850
2009,Total,Bedsitter,
2009,Total,1 Bedroom,623
2009,Total,Not Specified,850
2009,Total,2 Bedrooms,900
2009,Total,3 Bedrooms,1425
2009,Total,4 or more Bedrooms,
2009,House,Total,850
2009,House,Bedsitter,
2009,House,1 Bedroom,
2009,House,Not Specified,850
2009,House,2 Bedrooms,
2009,House,3 Bedrooms,
2009,House,4 or more Bedrooms,
2009,Other,Total,
2009,Other,Bedsitter,
2009,Other,1 Bedroom,
2009,Other,Not Specified,
2009,Other,2 Bedrooms,
2009,Other,3 Bedrooms,
2009,Other,4 or more Bedrooms,
2009,Townhouse,Total,
2009,Townhouse,1 Bedroom,
2009,Townhouse,Not Specified,
2009,Townhouse,2 Bedrooms,
2009,Townhouse,3 Bedrooms,
2009,Townhouse,4 or more Bedrooms,
2009,Flat/Unit,Total,850
2009,Flat/Unit,Bedsitter,
2009,Flat/Unit,1 Bedroom,638
2009,Flat/Unit,Not Specified,850
2009,Flat/Unit,2 Bedrooms,913
2009,Flat/Unit,3 Bedrooms,1400
2009,Flat/Unit,4 or more Bedrooms,
2010,Total,Total,700
2010,Total,Bedsitter,450
2010,Total,1 Bedroom,625
2010,Total,Not Specified,725
2010,Total,2 Bedrooms,915
2010,Total,3 Bedrooms,1255
2010,Total,4 or more Bedrooms,1500
2010,House,Total,800
2010,House,Bedsitter,
2010,House,1 Bedroom,550
2010,House,Not Specified,750
2010,House,2 Bedrooms,900
2010,House,3 Bedrooms,1300
2010,House,4 or more Bedrooms,1500
2010,Other,Total,495
2010,Other,Bedsitter,
2010,Other,1 Bedroom,
2010,Other,Not Specified,
2010,Other,2 Bedrooms,
2010,Other,3 Bedrooms,
2010,Other,4 or more Bedrooms,
2010,Townhouse,Total,1010
2010,Townhouse,Bedsitter,
2010,Townhouse,1 Bedroom,
2010,Townhouse,Not Specified,
2010,Townhouse,2 Bedrooms,
2010,Townhouse,3 Bedrooms,
2010,Townhouse,4 or more Bedrooms,
2010,Flat/Unit,Total,675
2010,Flat/Unit,Bedsitter,450
2010,Flat/Unit,1 Bedroom,630
2010,Flat/Unit,Not Specified,670
2010,Flat/Unit,2 Bedrooms,950
2010,Flat/Unit,3 Bedrooms,1250
2010,Flat/Unit,4 or more Bedrooms,
2011,Total,Total,648
2011,Total,Bedsitter,445
2011,Total,1 Bedroom,580
2011,Total,Not Specified,680
2011,Total,2 Bedrooms,900
2011,Total,3 Bedrooms,1250
2011,Total,4 or more Bedrooms,
2011,House,Total,700
2011,House,Bedsitter,450
2011,House,1 Bedroom,675
2011,House,Not Specified,700
2011,House,2 Bedrooms,933
2011,House,3 Bedrooms,
2011,House,4 or more Bedrooms,
2011,Other,Total,430
2011,Other,Bedsitter,
2011,Other,1 Bedroom,
2011,Other,Not Specified,
2011,Other,2 Bedrooms,
2011,Other,3 Bedrooms,
2011,Other,4 or more Bedrooms,
2011,Townhouse,Total,
2011,Townhouse,Bedsitter,
2011,Townhouse,1 Bedroom,
2011,Townhouse,Not Specified,
2011,Townhouse,2 Bedrooms,
2011,Townhouse,3 Bedrooms,
2011,Townhouse,4 or more Bedrooms,
2011,Flat/Unit,Total,610
2011,Flat/Unit,Bedsitter,450
2011,Flat/Unit,1 Bedroom,575
2011,Flat/Unit,Not Specified,490
2011,Flat/Unit,2 Bedrooms,900
2011,Flat/Unit,3 Bedrooms,1250
2011,Flat/Unit,4 or more Bedrooms,
2012,Total,Total,
2012,Total,2 Bedrooms,
2012,House,Total,
2012,House,2 Bedrooms,
2012,Flat/Unit,Total,
2012,Flat/Unit,2 Bedrooms,
2015,Total,Total,750
2015,Total,Bedsitter,
2015,Total,1 Bedroom,650
2015,Total,Not Specified,725
2015,Total,2 Bedrooms,800
2015,Total,3 Bedrooms,1000
2015,Total,4 or more Bedrooms,
2015,House,Total,755
2015,House,Bedsitter,
2015,House,1 Bedroom,
2015,House,Not Specified,720
2015,House,2 Bedrooms,770
2015,House,3 Bedrooms,980
2015,House,4 or more Bedrooms,
2015,Other,Total,
2015,Other,Bedsitter,
2015,Other,1 Bedroom,
2015,Other,Not Specified,
2015,Other,2 Bedrooms,
2015,Other,3 Bedrooms,
2015,Other,4 or more Bedrooms,
2015,Townhouse,Total,1425
2015,Townhouse,1 Bedroom,
2015,Townhouse,Not Specified,
2015,Townhouse,2 Bedrooms,
2015,Townhouse,3 Bedrooms,
2015,Townhouse,4 or more Bedrooms,
2015,Flat/Unit,Total,700
2015,Flat/Unit,Bedsitter,
2015,Flat/Unit,1 Bedroom,650
2015,Flat/Unit,Not Specified,
2015,Flat/Unit,2 Bedrooms,825
2015,Flat/Unit,3 Bedrooms,1000
2015,Flat/Unit,4 or more Bedrooms,
2016,Total,Total,649
2016,Total,Bedsitter,550
2016,Total,1 Bedroom,572
2016,Total,Not Specified,778
2016,Total,2 Bedrooms,850
2016,Total,3 Bedrooms,1125
2016,Total,4 or more Bedrooms,1275
2016,House,Total,868
2016,House,Bedsitter,
2016,House,1 Bedroom,
2016,House,Not Specified,765
2016,House,2 Bedrooms,800
2016,House,3 Bedrooms,1100
2016,House,4 or more Bedrooms,1200
2016,Other,Total,489
2016,Other,Bedsitter,
2016,Other,1 Bedroom,489
2016,Other,Not Specified,
2016,Other,2 Bedrooms,
2016,Other,3 Bedrooms,
2016,Other,4 or more Bedrooms,
2016,Townhouse,Total,1063
2016,Townhouse,Bedsitter,
2016,Townhouse,1 Bedroom,
2016,Townhouse,Not Specified,
2016,Townhouse,2 Bedrooms,
2016,Townhouse,3 Bedrooms,
2016,Townhouse,4 or more Bedrooms,
2016,Flat/Unit,Total,639
2016,Flat/Unit,Bedsitter,
2016,Flat/Unit,1 Bedroom,599
2016,Flat/Unit,Not Specified,850
2016,Flat/Unit,2 Bedrooms,850
2016,Flat/Unit,3 Bedrooms,1063
2016,Flat/Unit,4 or more Bedrooms,
2017,Total,Total,930
2017,Total,Bedsitter,
2017,Total,1 Bedroom,730
2017,Total,Not Specified,930
2017,Total,2 Bedrooms,1000
2017,Total,3 Bedrooms,1380
2017,Total,4 or more Bedrooms,
2017,House,Total,900
2017,House,Bedsitter,
2017,House,1 Bedroom,750
2017,House,Not Specified,900
2017,House,2 Bedrooms,910
2017,House,3 Bedrooms,
2017,House,4 or more Bedrooms,
2017,Other,Total,1200
2017,Other,Bedsitter,
2017,Other,1 Bedroom,
2017,Other,Not Specified,
2017,Other,2 Bedrooms,1125
2017,Other,3 Bedrooms,1500
2017,Other,4 or more Bedrooms,
2017,Townhouse,Total,
2017,Townhouse,1 Bedroom,
2017,Townhouse,Not Specified,
2017,Townhouse,2 Bedrooms,
2017,Townhouse,3 Bedrooms,
2017,Townhouse,4 or more Bedrooms,
2017,Flat/Unit,Total,930
2017,Flat/Unit,Bedsitter,
2017,Flat/Unit,1 Bedroom,730
2017,Flat/Unit,Not Specified,960
2017,Flat/Unit,2 Bedrooms,1000
2017,Flat/Unit,3 Bedrooms,1350
2017,Flat/Unit,4 or more Bedrooms,
2018,Total,Total,880
2018,Total,Bedsitter,
2018,Total,1 Bedroom,700
2018,Total,Not Specified,850
2018,Total,2 Bedrooms,900
2018,Total,3 Bedrooms,1300
2018,Total,4 or more Bedrooms,1350
2018,House,Total,900
2018,House,Bedsitter,
2018,House,1 Bedroom,
2018,House,Not Specified,850
2018,House,2 Bedrooms,888
2018,House,3 Bedrooms,1250
2018,House,4 or more Bedrooms,1350
2018,Other,Total,980
2018,Other,Bedsitter,
2018,Other,1 Bedroom,
2018,Other,Not Specified,
2018,Other,2 Bedrooms,
2018,Other,3 Bedrooms,
2018,Other,4 or more Bedrooms,
2018,Townhouse,Total,
2018,Townhouse,1 Bedroom,
2018,Townhouse,Not Specified,
2018,Townhouse,2 Bedrooms,
2018,Townhouse,3 Bedrooms,
2018,Townhouse,4 or more Bedrooms,
2018,Flat/Unit,Total,870
2018,Flat/Unit,Bedsitter,
2018,Flat/Unit,1 Bedroom,700
2018,Flat/Unit,Not Specified,825
2018,Flat/Unit,2 Bedrooms,900
2018,Flat/Unit,3 Bedrooms,1350
2018,Flat/Unit,4 or more Bedrooms,
2019,Total,Total,780
2019,Total,Bedsitter,
2019,Total,1 Bedroom,640
2019,Total,Not Specified,760
2019,Total,2 Bedrooms,800
2019,Total,3 Bedrooms,1000
2019,Total,4 or more Bedrooms,
2019,House,Total,800
2019,House,Bedsitter,
2019,House,1 Bedroom,
2019,House,Not Specified,775
2019,House,2 Bedrooms,
2019,House,3 Bedrooms,
2019,House,4 or more Bedrooms,
2019,Other,Total,
2019,Other,Bedsitter,
2019,Other,1 Bedroom,
2019,Other,Not Specified,
2019,Other,2 Bedrooms,
2019,Other,3 Bedrooms,
2019,Other,4 or more Bedrooms,
2019,Townhouse,Total,1000
2019,Townhouse,1 Bedroom,
2019,Townhouse,Not Specified,
2019,Townhouse,2 Bedrooms,
2019,Townhouse,3 Bedrooms,
2019,Townhouse,4 or more Bedrooms,
2019,Flat/Unit,Total,755
2019,Flat/Unit,Bedsitter,
2019,Flat/Unit,1 Bedroom,635
2019,Flat/Unit,Not Specified,
2019,Flat/Unit,2 Bedrooms,800
2019,Flat/Unit,3 Bedrooms,950
2019,Flat/Unit,4 or more Bedrooms,
2020,Total,Total,850
2020,Total,Bedsitter,
2020,Total,1 Bedroom,679
2020,Total,Not Specified,880
2020,Total,2 Bedrooms,900
2020,Total,3 Bedrooms,1250
2020,Total,4 or more Bedrooms,
2020,House,Total,880
2020,House,Bedsitter,
2020,House,1 Bedroom,
2020,House,Not Specified,880
2020,House,2 Bedrooms,
2020,House,3 Bedrooms,938
2020,House,4 or more Bedrooms,
2020,Other,Total,1000
2020,Other,Bedsitter,
2020,Other,1 Bedroom,
2020,Other,Not Specified,
2020,Other,2 Bedrooms,1000
2020,Other,3 Bedrooms,
2020,Other,4 or more Bedrooms,
2020,Townhouse,Total,
2020,Townhouse,1 Bedroom,
2020,Townhouse,Not Specified,
2020,Townhouse,2 Bedrooms,
2020,Townhouse,3 Bedrooms,
2020,Townhouse,4 or more Bedrooms,
2020,Flat/Unit,Total,820
2020,Flat/Unit,Bedsitter,
2020,Flat/Unit,1 Bedroom,679
2020,Flat/Unit,Not Specified,925
2020,Flat/Unit,2 Bedrooms,900
2020,Flat/Unit,3 Bedrooms,1250
2020,Flat/Unit,4 or more Bedrooms,
2021,Total,Total,780
2021,Total,Bedsitter,425
2021,Total,1 Bedroom,500
2021,Total,Not Specified,760
2021,Total,2 Bedrooms,905
2021,Total,3 Bedrooms,1500
2021,Total,4 or more Bedrooms,1750
2021,House,Total,1010
2021,House,Bedsitter,
2021,House,1 Bedroom,425
2021,House,Not Specified,773
2021,House,2 Bedrooms,1000
2021,House,3 Bedrooms,1550
2021,House,4 or more Bedrooms,1773
2021,Other,Total,
2021,Other,Bedsitter,
2021,Other,1 Bedroom,
2021,Other,Not Specified,
2021,Other,2 Bedrooms,
2021,Other,3 Bedrooms,
2021,Other,4 or more Bedrooms,
2021,Townhouse,Total,1275
2021,Townhouse,Bedsitter,
2021,Townhouse,1 Bedroom,
2021,Townhouse,Not Specified,
2021,Townhouse,2 Bedrooms,
2021,Townhouse,3 Bedrooms,
2021,Townhouse,4 or more Bedrooms,
2021,Flat/Unit,Total,600
2021,Flat/Unit,Bedsitter,425
2021,Flat/Unit,1 Bedroom,545
2021,Flat/Unit,Not Specified,
2021,Flat/Unit,2 Bedrooms,800
2021,Flat/Unit,3 Bedrooms,
2021,Flat/Unit,4 or more Bedrooms,
2022,Total,Total,850
2022,Total,Bedsitter,
2022,Total,1 Bedroom,750
2022,Total,Not Specified,823
2022,Total,2 Bedrooms,950
2022,Total,3 Bedrooms,1405
2022,Total,4 or more Bedrooms,1950
2022,House,Total,980
2022,House,Bedsitter,
2022,House,1 Bedroom,
2022,House,Not Specified,838
2022,House,2 Bedrooms,
2022,House,3 Bedrooms,
2022,House,4 or more Bedrooms,
2022,Other,Total,
2022,Other,Bedsitter,
2022,Other,1 Bedroom,
2022,Other,Not Specified,
2022,Other,2 Bedrooms,
2022,Other,3 Bedrooms,
2022,Other,4 or more Bedrooms,
2022,Townhouse,Total,
2022,Townhouse,Bedsitter,
2022,Townhouse,1 Bedroom,
2022,Townhouse,Not Specified,
2022,Townhouse,2 Bedrooms,
2022,Townhouse,3 Bedrooms,
2022,Townhouse,4 or more Bedrooms,
2022,Flat/Unit,Total,850
2022,Flat/Unit,Bedsitter,
2022,Flat/Unit,1 Bedroom,780
2022,Flat/Unit,Not Specified,793
2022,Flat/Unit,2 Bedrooms,950
2022,Flat/Unit,3 Bedrooms,
2022,Flat/Unit,4 or more Bedrooms,
2023,Total,Total,895
2023,Total,Bedsitter,
2023,Total,1 Bedroom,600
2023,Total,Not Specified,850
2023,Total,2 Bedrooms,850
2023,Total,3 Bedrooms,1800
2023,Total,4 or more Bedrooms,
2023,House,Total,1700
2023,House,Bedsitter,
2023,House,1 Bedroom,
2023,House,Not Specified,873
2023,House,2 Bedrooms,
2023,House,3 Bedrooms,
2023,House,4 or more Bedrooms,
2023,Other,Total,
2023,Other,Bedsitter,
2023,Other,1 Bedroom,
2023,Other,Not Specified,
2023,Other,2 Bedrooms,
2023,Other,3 Bedrooms,
2023,Other,4 or more Bedrooms,
2023,Townhouse,Total,
2023,Townhouse,2 Bedrooms,
2023,Townhouse,3 Bedrooms,
2023,Townhouse,4 or more Bedrooms,
2023,Flat/Unit,Total,850
2023,Flat/Unit,Bedsitter,
2023,Flat/Unit,1 Bedroom,600
2023,Flat/Unit,Not Specified,
2023,Flat/Unit,2 Bedrooms,850
2023,Flat/Unit,3 Bedrooms,1575
2023,Flat/Unit,4 or more Bedrooms,
2024,Total,Total,850
2024,Total,Bedsitter,
2024,Total,1 Bedroom,600
2024,Total,Not Specified,850
2024,Total,2 Bedrooms,895
2024,Total,3 Bedrooms,
2024,Total,4 or more Bedrooms,
2024,House,Total,1100
2024,House,1 Bedroom,
2024,House,Not Specified,850
2024,House,2 Bedrooms,880
2024,House,3 Bedrooms,
2024,House,4 or more Bedrooms,
2024,Other,Total,
2024,Other,Bedsitter,
2024,Other,1 Bedroom,
2024,Other,Not Specified,
2024,Other,2 Bedrooms,
2024,Other,3 Bedrooms,
2024,Other,4 or more Bedrooms,
2024,Townhouse,Total,
2024,Townhouse,1 Bedroom,
2024,Townhouse,Not Specified,
2024,Townhouse,2 Bedrooms,
2024,Townhouse,3 Bedrooms,
2024,Townhouse,4 or more Bedrooms,
2024,Flat/Unit,Total,770
2024,Flat/Unit,Bedsitter,
2024,Flat/Unit,1 Bedroom,613
2024,Flat/Unit,Not Specified,
2024,Flat/Unit,2 Bedrooms,895
2024,Flat/Unit,3 Bedrooms,
2024,Flat/Unit,4 or more Bedrooms,
2025,Total,Total,880
2025,Total,Bedsitter,
2025,Total,1 Bedroom,625
2025,Total,Not Specified,800
2025,Total,2 Bedrooms,830
2025,Total,3 Bedrooms,1350
2025,Total,4 or more Bedrooms,
2025,House,Total,1200
2025,House,Bedsitter,
2025,House,1 Bedroom,
2025,House,Not Specified,800
2025,House,2 Bedrooms,
2025,House,3 Bedrooms,1700
2025,House,4 or more Bedrooms,
2025,Other,Total,
2025,Other,Bedsitter,
2025,Other,1 Bedroom,
2025,Other,Not Specified,
2025,Other,2 Bedrooms,
2025,Other,3 Bedrooms,
2025,Other,4 or more Bedrooms,
2025,Townhouse,Total,
2025,Townhouse,1 Bedroom,
2025,Townhouse,Not Specified,
2025,Townhouse,2 Bedrooms,
2025,Townhouse,3 Bedrooms,
2025,Townhouse,4 or more Bedrooms,
2025,Flat/Unit,Total,850
2025,Flat/Unit,Bedsitter,
2025,Flat/Unit,1 Bedroom,
2025,Flat/Unit,Not Specified,
2025,Flat/Unit,2 Bedrooms,830
2025,Flat/Unit,3 Bedrooms,
2025,Flat/Unit,4 or more Bedrooms,
2026,Total,Total,890
2026,Total,Bedsitter,410
2026,Total,1 Bedroom,750
2026,Total,Not Specified,870
2026,Total,2 Bedrooms,910
2026,Total,3 Bedrooms,1475
2026,Total,4 or more Bedrooms,2400
2026,House,Total,950
2026,House,Bedsitter,
2026,House,1 Bedroom,725
2026,House,Not Specified,885
2026,House,2 Bedrooms,1100
2026,House,3 Bedrooms,1620
2026,House,4 or more Bedrooms,2150
2026,Other,Total,335
2026,Other,Bedsitter,
2026,Other,1 Bedroom,
2026,Other,Not Specified,
2026,Other,2 Bedrooms,
2026,Other,3 Bedrooms,
2026,Other,4 or more Bedrooms,
2026,Townhouse,Total,
2026,Townhouse,Bedsitter,
2026,Townhouse,1 Bedroom,
2026,Townhouse,Not Specified,
2026,Townhouse,2 Bedrooms,
2026,Townhouse,3 Bedrooms,
2026,Townhouse,4 or more Bedrooms,
2026,Flat/Unit,Total,870
2026,Flat/Unit,Bedsitter,
2026,Flat/Unit,1 Bedroom,750
2026,Flat/Unit,Not Specified,825
2026,Flat/Unit,2 Bedrooms,900
2026,Flat/Unit,3 Bedrooms,1363
2026,Flat/Unit,4 or more Bedrooms,
2027,Total,Total,1100
2027,Total,Bedsitter,
2027,Total,1 Bedroom,673
2027,Total,Not Specified,1075
2027,Total,2 Bedrooms,1100
2027,Total,3 Bedrooms,1675
2027,Total,4 or more Bedrooms,
2027,House,Total,1050
2027,House,Bedsitter,
2027,House,1 Bedroom,
2027,House,Not Specified,990
2027,House,2 Bedrooms,
2027,House,3 Bedrooms,
2027,House,4 or more Bedrooms,
2027,Other,Total,
2027,Other,Bedsitter,
2027,Other,1 Bedroom,
2027,Other,Not Specified,
2027,Other,2 Bedrooms,
2027,Other,3 Bedrooms,
2027,Other,4 or more Bedrooms,
2027,Townhouse,Total,
2027,Townhouse,1 Bedroom,
2027,Townhouse,Not Specified,
2027,Townhouse,2 Bedrooms,
2027,Townhouse,3 Bedrooms,
2027,Townhouse,4 or more Bedrooms,
2027,Flat/Unit,Total,1100
2027,Flat/Unit,Bedsitter,
2027,Flat/Unit,1 Bedroom,698
2027,Flat/Unit,Not Specified,
2027,Flat/Unit,2 Bedrooms,1100
2027,Flat/Unit,3 Bedrooms,1725
2027,Flat/Unit,4 or more Bedrooms,
2028,Total,Total,920
2028,Total,Bedsitter,
2028,Total,1 Bedroom,
2028,Total,Not Specified,900
2028,Total,2 Bedrooms,838
2028,Total,3 Bedrooms,1680
2028,Total,4 or more Bedrooms,
2028,House,Total,1200
2028,House,1 Bedroom,
2028,House,Not Specified,925
2028,House,2 Bedrooms,
2028,House,3 Bedrooms,
2028,House,4 or more Bedrooms,
2028,Other,Total,
2028,Other,Bedsitter,
2028,Other,1 Bedroom,
2028,Other,Not Specified,
2028,Other,2 Bedrooms,
2028,Other,3 Bedrooms,
2028,Other,4 or more Bedrooms,
2028,Townhouse,Total,
2028,Townhouse,Not Specified,
2028,Townhouse,2 Bedrooms,
2028,Townhouse,3 Bedrooms,
2028,Townhouse,4 or more Bedrooms,
2028,Flat/Unit,Total,890
2028,Flat/Unit,Bedsitter,
2028,Flat/Unit,1 Bedroom,
2028,Flat/Unit,Not Specified,
2028,Flat/Unit,2 Bedrooms,825
2028,Flat/Unit,3 Bedrooms,
2028,Flat/Unit,4 or more Bedrooms,
2029,Total,Total,910
2029,Total,Bedsitter,
2029,Total,1 Bedroom,578
2029,Total,Not Specified,975
2029,Total,2 Bedrooms,820
2029,Total,3 Bedrooms,1400
2029,Total,4 or more Bedrooms,2850
2029,House,Total,1400
2029,House,Bedsitter,
2029,House,1 Bedroom,
2029,House,Not Specified,998
2029,House,2 Bedrooms,
2029,House,3 Bedrooms,
2029,House,4 or more Bedrooms,
2029,Other,Total,
2029,Other,Bedsitter,
2029,Other,1 Bedroom,
2029,Other,Not Specified,
2029,Other,2 Bedrooms,
2029,Other,3 Bedrooms,
2029,Other,4 or more Bedrooms,
2029,Townhouse,Total,
2029,Townhouse,1 Bedroom,
2029,Townhouse,2 Bedrooms,
2029,Townhouse,3 Bedrooms,
2029,Townhouse,4 or more Bedrooms,
2029,Flat/Unit,Total,760
2029,Flat/Unit,Bedsitter,
2029,Flat/Unit,1 Bedroom,575
2029,Flat/Unit,Not Specified,
2029,Flat/Unit,2 Bedrooms,800
2029,Flat/Unit,3 Bedrooms,
2029,Flat/Unit,4 or more Bedrooms,
2030,Total,Total,975
2030,Total,Bedsitter,
2030,Total,1 Bedroom,598
2030,Total,Not Specified,1000
2030,Total,2 Bedrooms,888
2030,Total,3 Bedrooms,1250
2030,Total,4 or more Bedrooms,3500
2030,House,Total,2150
2030,House,Bedsitter,
2030,House,1 Bedroom,
2030,House,Not Specified,1000
2030,House,2 Bedrooms,
2030,House,3 Bedrooms,
2030,House,4 or more Bedrooms,3550
2030,Other,Total,
2030,Other,Bedsitter,
2030,Other,1 Bedroom,
2030,Other,Not Specified,
2030,Other,2 Bedrooms,
2030,Other,3 Bedrooms,
2030,Other,4 or more Bedrooms,
2030,Townhouse,Total,
2030,Townhouse,1 Bedroom,
2030,Townhouse,2 Bedrooms,
2030,Townhouse,3 Bedrooms,
2030,Townhouse,4 or more Bedrooms,
2030,Flat/Unit,Total,875
2030,Flat/Unit,Bedsitter,
2030,Flat/Unit,1 Bedroom,598
2030,Flat/Unit,Not Specified,
2030,Flat/Unit,2 Bedrooms,880
2030,Flat/Unit,3 Bedrooms,1200
2030,Flat/Unit,4 or more Bedrooms,
2031,Total,Total,775
2031,Total,Bedsitter,
2031,Total,1 Bedroom,620
2031,Total,Not Specified,740
2031,Total,2 Bedrooms,800
2031,Total,3 Bedrooms,1230
2031,Total,4 or more Bedrooms,2000
2031,House,Total,825
2031,House,Bedsitter,
2031,House,1 Bedroom,
2031,House,Not Specified,750
2031,House,2 Bedrooms,828
2031,House,3 Bedrooms,1400
2031,House,4 or more Bedrooms,2075
2031,Other,Total,
2031,Other,Bedsitter,
2031,Other,1 Bedroom,
2031,Other,Not Specified,
2031,Other,2 Bedrooms,
2031,Other,3 Bedrooms,
2031,Other,4 or more Bedrooms,
2031,Townhouse,Total,
2031,Townhouse,Bedsitter,
2031,Townhouse,1 Bedroom,
2031,Townhouse,Not Specified,
2031,Townhouse,2 Bedrooms,
2031,Townhouse,3 Bedrooms,
2031,Townhouse,4 or more Bedrooms,
2031,Flat/Unit,Total,750
2031,Flat/Unit,Bedsitter,
2031,Flat/Unit,1 Bedroom,625
2031,Flat/Unit,Not Specified,715
2031,Flat/Unit,2 Bedrooms,800
2031,Flat/Unit,3 Bedrooms,1100
2031,Flat/Unit,4 or more Bedrooms,
2032,Total,Total,700
2032,Total,Bedsitter,500
2032,Total,1 Bedroom,410
2032,Total,Not Specified,700
2032,Total,2 Bedrooms,800
2032,Total,3 Bedrooms,1100
2032,Total,4 or more Bedrooms,1475
2032,House,Total,735
2032,House,Bedsitter,
2032,House,1 Bedroom,450
2032,House,Not Specified,700
2032,House,2 Bedrooms,825
2032,House,3 Bedrooms,1050
2032,House,4 or more Bedrooms,
2032,Other,Total,500
2032,Other,Bedsitter,500
2032,Other,1 Bedroom,
2032,Other,Not Specified,
2032,Other,2 Bedrooms,
2032,Other,3 Bedrooms,
2032,Other,4 or more Bedrooms,
2032,Townhouse,Total,950
2032,Townhouse,1 Bedroom,
2032,Townhouse,Not Specified,
2032,Townhouse,2 Bedrooms,
2032,Townhouse,3 Bedrooms,
2032,Townhouse,4 or more Bedrooms,
2032,Flat/Unit,Total,735
2032,Flat/Unit,Bedsitter,500
2032,Flat/Unit,1 Bedroom,438
2032,Flat/Unit,Not Specified,670
2032,Flat/Unit,2 Bedrooms,800
2032,Flat/Unit,3 Bedrooms,1100
2032,Flat/Unit,4 or more Bedrooms,
2033,Total,Total,700
2033,Total,Bedsitter,330
2033,Total,1 Bedroom,580
2033,Total,Not Specified,675
2033,Total,2 Bedrooms,750
2033,Total,3 Bedrooms,1165
2033,Total,4 or more Bedrooms,1500
2033,House,Total,700
2033,House,Bedsitter,
2033,House,1 Bedroom,
2033,House,Not Specified,665
2033,House,2 Bedrooms,
2033,House,3 Bedrooms,
2033,House,4 or more Bedrooms,
2033,Other,Total,380
2033,Other,Bedsitter,
2033,Other,1 Bedroom,
2033,Other,Not Specified,
2033,Other,2 Bedrooms,
2033,Other,3 Bedrooms,
2033,Other,4 or more Bedrooms,
2033,Townhouse,Total,
2033,Townhouse,1 Bedroom,
2033,Townhouse,Not Specified,
2033,Townhouse,2 Bedrooms,
